Event Name,Start Date,End Date,Location,Event Type,Delivery Method
Level 1 Google Admin Bootcamp - Sponsored by Lenovo,07/14/2025,07/14/2025,"Austin, TX, USA",Full-Day Technical,In-Person
Southeast Education Service Center Level 1 and 2 Google Admin Bootcamp,07/29/2025,07/30/2025,"Price, UT",Full-Day Technical,In-Person
REMC Level 1 Google Admin Bootcamp (Monroe County),08/05/2025,08/05/2025,"Monroe, MI",Full-Day Technical,In-Person
"Aurora, CO Level 1 and 2 Google Admin Bootcamps ",09/03/2025,09/04/2025,"Auroroa, CO",Full-Day Technical,In-Person
Virtual Security Summit,09/10/2025,09/10/2025,,Full-Day Technical,Virtual
Clare-Gladwin RESD Level 1 Google Admin Bootcamp,09/18/2025,09/18/2025,"Clare, MI",Full-Day Technical,In-Person
Google Edu On Air Series: Data Loss Protection Session,09/23/2025,09/23/2025,,1-Hour Session,Virtual
KRESA (REMC) Level 1 Google Admin Bootcamp,10/03/2025,10/03/2025,"Kalamazoo, MI",Full-Day Technical,In-Person
Milwaukee Public Schools: Virtual Full Day Best Practices Workshop,10/20/2025,10/21/2025,,Full-Day Technical,Virtual
OKSTE,11/05/2025,11/06/2025,"Tulsa, OK",Conference,In-Person
Wayne County REMC Level 1 Google Admin Bootcamp,11/10/2025,11/10/2025,"Wayne, MI",Full-Day Technical,In-Person
"Washtenaw Co. Level 2 Google Admin Bootcamp (Ann Arbor, MI, REMC)",11/11/2025,11/11/2025,"Ann Arbor, MI",Full-Day Technical,In-Person
Bay City Area Level 1 Google Admin Bootcamp (MI),11/12/2025,11/12/2025,"Bay City, MI",Full-Day Technical,In-Person
METAA Webinar Series: Unlocking the Power of Google Vault: Data Retention and Investigations,11/20/2025,11/20/2025,,1-Hour Session,Virtual
"Chrome/Gemini Technical Workshop - Forney, TX",12/02/2025,12/02/2025,"Forney, TX",Full-Day Workshop,In-Person
Google EDU on Air: Gemini for Education Updates for IT Admins,12/09/2025,12/09/2025,,1-Hour Session,Virtual
Springdale Virtual Training,12/18/2025,12/18/2025,,Full-Day Technical,Virtual
Pajaro (CA) Level 1 and 2 Google Admin Bootcamp,01/07/2026,01/08/2026,"Watsonville, CA",Full-Day Technical,In-Person
Phoenix AZ Gemini Workshop,01/27/2026,01/27/2026,"Phoenix, AZ",Full-Day Workshop,In-Person
Irvine CA Gemini Workshop,01/29/2026,01/29/2026,"Irvine, CA",Full-Day Workshop,In-Person
"Houston, TX Gemini Workshop",02/19/2026,02/19/2026,"Houston, TX",Full-Day Workshop,In-Person
Google EDU on Air: Staying Current in an Evolving AI Landscape,02/24/2026,02/24/2026,,1-Hour Session,Virtual
KAST (KY),03/11/2026,03/13/2026,"Louisville, KY",Conference,In-Person
Google EDU on Air: Managing Gemini and Google AI across the Chrome Platform,03/24/2026,03/24/2026,,1-Hour Session,Virtual
Iowa Gemini Workshop,04/07/2026,04/07/2026,"Cedar Rapids, IA",Full-Day Workshop,In-Person
Virtual: CNYRIC Managing and Deploying Gemini in Google Workspace,04/15/2026,04/15/2026,,1-Hour Session,Virtual
Maine Gemini Workshop,04/22/2026,04/22/2026,"South Portland, ME",Full-Day Workshop,In-Person
Western Suffolk BOCES Gemini Workshop,04/29/2026,04/29/2026,"Melville, NY",Full-Day Workshop,In-Person
Brainstorm Sandusky,05/03/2026,05/05/2026,"Sandusky, OH",Conference,In-Person
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
